"Preprint Server","Preprint DOI","Latest Version","Date of Latest Version","Title","Byline","Publication DOI","Status","Assessors"
"medRxiv","10.1101/2022.03.03.22271827","2","06/03/2022","Immunogenicity and Safety of Booster Dose of S-268019-b or Tozinameran in Japanese Participants: An Interim Report of Phase 2/3, Randomized, Observer-Blinded, Noninferiority Study","Shinkai, M.; Sonoyama, T.; Kamitani, A.; Shibata, R.; Seki, N.; Omoto, S.; Shinoda, M.; Sato, T.; Ishii, N.; Igarashi, K.; Ariyasu, M.","10.1016/j.vaccine.2022.06.032","publishaheadofprint","CRESS, medRxiv"
"medRxiv","10.1101/2022.03.02.22271710","1","04/03/2022","Daily tenofovir disoproxil fumarate/emtricitabine and hydroxychloroquine for pre-exposure prophylaxis of COVID-19: a double-blind placebo controlled randomized trial in healthcare workers","Del Amo, J.","10.1016/j.cmi.2022.07.006","publishaheadofprint","CRESS, medRxiv"
"medRxiv","10.1101/2022.03.02.22271623","1","03/03/2022","Baricitinib in patients admitted to hospital with COVID-19 (RECOVERY): a randomised, controlled, open-label, platform trial and updated meta-analysis","Horby, P. W.; Emberson, J. R.; Mafham, M.; Campbell, M.; Peto, L.; Pessoa-Amorim, G.; Spata, E.; Staplin, N.; Lowe, C.; Chadwick, D. R.; Brightling, C.; Stewart, R.; Collini, P.; Ashish, A.; Green, C. A.; Prudon, B.; Felton, T.; Kerry, A.; Baillie, J. K.; Buch, M. H.; Day, J. N.; Faust, S. N.; Jaki, T.; Jeffery, K.; Juszczak, E.; Knight, M.; Lim, W. S.; Montgomery, A.; Mumford, A.; Rowan, K.; Thwaites, G.; Haynes, R.; Landray, M. J.","-","publishaheadofprint","-"
"SSRN Electronic Journal","10.2139/ssrn.4042673","1","02/03/2022","Efficacy and Safety of Molnupiravir for the Treatment of Non-Hospitalized Adults With Mild COVID-19: A Randomized, Open-Label, Parallel-Group Phase 3 Trial","Tippabhotla, Sudhakar Koudinya; Lahiri, Dr. Subhra; D, Rama Raju; Kandi, Chandrashekhar; V, Naga Prasad","-","initial deposit","-"
"medRxiv","10.1101/2022.02.24.22271445","1","01/03/2022","Safety and immunogenicity of heterologous boost immunization with an adenovirus type-5-vectored and protein-subunit-based COVID-19 vaccine (Convidecia/ZF2001): a randomized, observer-blinded, placebo-controlled trial","Jin, P.; Guo, X.; Chen, W.; Ma, S.; Pan, H.; Dai, L.; Du, P.; Wang, L.; Jin, L.; Chen, Y.; Shi, F.; Liu, J.; Xu, X.; Zhang, Y.; Gao, G. F.; Chen, C.; Feng, J.; Li, J.; Zhu, F.-C.","10.1371/journal.pmed.1003953","publishaheadofprint","CRESS, medRxiv"
"medRxiv","10.1101/2022.02.22.22270838","1","24/02/2022","Three-month follow-up of heterologous vs homologous third vaccination in kidney transplant recipients","Heinzel, A.; Schrezenmeier, E.; Regele, F.; Raab, L.; Eder, M.; Aigner, C.; Jabbour, R.; Aschauer, C.; Stefanski, A.-L.; Doerner, T.; Budde, K.; Reindl-Schwaighofer, R.; Oberbauer, R.","10.3389/fmed.2022.936126","publishaheadofprint","CRESS, medRxiv"
"Research Square","10.21203/rs.3.rs-1391871/v1","1","24/02/2022","Safety And Preliminary Efficacy Of Sequential Multiple Ascending Doses Of Solnatide To Treat Pulmonary Permeability Edema In Patients With Moderate To Severe ARDS In A Randomized, Placebo-Controlled, Double-Blind Trial: Preliminary Evaluation Of Safety And Feasibility In Light Of The COVID-19 Pandemic","Schmid, Benedikt; Kranke, Peter; Lucas, Rudolf; Meybohm, Patrick; Zwissler, Bernhard; Frank, Sandra","10.1186/s13063-022-06182-3","initial deposit","CRESS, crossref"
"medRxiv","10.1101/2022.02.22.22271051","1","24/02/2022","Third dose of COVID-19 vaccine, CVnCoV, increased neutralizing activity against SARS-CoV-2 wild-type and Delta variant","Wolz, O.-O.; Kays, S.-K.; Junker, H.; Koch, S. D.; Mann, P.; Quintini, G.; von Eisenhart-Rothe, P.; Oostvogels, L.","10.3390/vaccines10040508","publishaheadofprint","CRESS, crossref, medRxiv"
"medRxiv","10.1101/2022.02.19.22271230","1","22/02/2022","A role for Nucleocapsid-specific antibody function in Covid-19 Convalescent plasma therapy","Herman, J. D.; Wang, C.; Burke, J. S.; Zur, Y.; Compere, H.; Kang, J.; Macvicar, R.; Shin, S.; Frank, I.; Siegel, D.; Tebas, P.; Choi, G. H.; Shaw, P. A.; Yoon, H.; Pirofski, L.-a.; Juelg, B.; Bar, K. J.; Lauffenburger, D.; Alter, G.","-","publishaheadofprint","-"
"Research Square","10.21203/rs.3.rs-1386212/v1","1","22/02/2022","Pembrolizumab in combination with tocilizumab in high-risk hospitalized COVID-19 patients (COPERNICO): A randomized proof-of-concept phase II study","Sánchez-Conde, Matilde; Vizcarra, Pilar; Pérez-García, José Manuel; Gion, María; Martialay, María Pilar; Taboada, Javier; Alonso-Fernández, Alberto; Sampayo-Cordero, Miguel; Malfettone, Andrea; Tena, Isabel; Torre, Sergio De La; Llombart, Antonio; Cortes, Javier","10.1016/j.ijid.2022.08.007","initial deposit","CRESS"
"medRxiv","10.1101/2022.02.16.22271064","1","21/02/2022","An open-label randomized, controlled trial of the effect of lopinavir/ritonavir, lopinavir/ritonavir plus IFN-beta-1a and hydroxychloroquine in hospitalized patients with COVID-19 - Final results from the DisCoVeRy trial","ADER, F.; PEIFFER-SMADJA, N.; POISSY, J.; BOUSCAMBERT-DUCHAMP, M.; BELHADI, D.; DIALLO, A.; DELMAS, C.; SAILLARD, J.; DECHANET, A.; MERCIER, N.; DUPONT, A.; ALFAIATE, T.; LESCURE, F.-X.; RAFFI, F.; GOEHRINGER, F.; KIMMOUN, A.; JAUREGUIBERRY, S.; REIGNIER, J.; NSEIR, S.; DANION, F.; CLERE-JEHL, R.; BOUILLER, K.; NAVELLOU, J.-C.; TOLSMA, V.; CABIE, A.; DUBOST, C.; COURJON, J.; LEROY, S.; MOOTIEN, J.; GACI, R.; MOURVILLIER, B.; FAURE, E.; POURCHER, V.; GALLIEN, S.; LAUNAY, O.; LACOMBE, K.; LANOIX, J.-P.; MAKINSON, A.; MARTIN-BLONDEL, G.; BOUADMA, L.; BOTELHO-NEVERS, e.; GAGNEUX-BRUNON, A.; EPAULA","10.1016/j.cmi.2021.05.020, 10.1016/j.cmi.2022.04.016","publishaheadofprint","CRESS, medRxiv"
"medRxiv","10.1101/2022.02.11.22270775","1","15/02/2022","Favipiravir, lopinavir-ritonavir or combination therapy (FLARE): a randomised, double blind, 2x2 factorial placebo-controlled trial of early antiviral therapy in COVID-19","Lowe, D. M.; Brown, L.-A. K.; Chowdhury, K.; Davey, S.; Yee, P.; Ikeji, F.; Ndoutoumou, A.; Shah, D.; Lennon, A.; Rai, A.; Agyeman, A. A.; Checkley, A.; Longley, N.; Dehbi, H.-M.; Freemantle, N.; Breuer, J.; Standing, J. F.; FLARE Investigators,  ","-","publishaheadofprint","-"
"Research Square","10.21203/rs.3.rs-1361039/v1","1","15/02/2022","Effect of Adjunct Tele-Yoga on Clinical Status at 14 Days in Hospitalized mild and Moderate COVID-19 Patients: a Randomized Controlled Trial","Majumdar, Vijaya; K, Manjunath N; R, Nagarathna; Panigrahi, Suryanarayan; Kanchi, Muralidhar; Sahoo, Sarthak; Nagendra, Hongasandra R; Giridharan, Adithi; Reddy, Mounika; Nayak, Rakshitha","-","initial deposit","-"
"medRxiv","10.1101/2022.02.15.22270974","1","15/02/2022","A randomized clinical trial of a booster dose with low versus standard dose of AZD1222 in adult after 2 doses of inactivated vaccines","Nanthapisal, S.; Puthanakit, T.; Jaru-Ampornpan, P.; Nantanee, R.; Sodsai, P.; Himananto, O.; Sophonphan, J.; Suchartlikitwong, P.; Hiransuthikul, N.; Angkasekwinai, P.; Tangsathapornpong, A.; Hirankarn, N.","10.1016/j.vaccine.2022.03.036","publishaheadofprint","CRESS, crossref, medRxiv"
"medRxiv","10.1101/2022.02.08.22270649","1","10/02/2022","Innovative Randomized Phase 1 Study and Dosing Regimen Selection to Accelerate and Inform Pivotal COVID-19 Trial of Nirmatrelvir","Singh, R. S. P.; Toussi, S. S.; Hackman, F.; Chan, P. L.; Rao, R.; Allen, R.; Van Eyck, L.; Pawlak, S.; Kadar, E. P.; Clark, F.; Shi, H.; Anderson, A. S.; Binks, M.; Menon, S.; Nucci, G.; Bergman, A.","10.1002/cpt.2603","publishaheadofprint","CRESS, crossref, medRxiv"
"SSRN Electronic Journal","10.2139/ssrn.4028552","1","10/02/2022","Effect of Inactivated SARS-CoV-2 Vaccine on Thyroid Function and Autoimmunity","Li, Liubing; Chen, Xinwen; Li, Bin; Liu, Dayue; Liu, Yihao; Mo, Ruohui; Lai, Fenghua; Liu, Rengyun; Peng, Sui; Li, Yanbing; Liu, Min; Xiao, Haipeng","10.1089/thy.2022.0101","initial deposit","CRESS"
"SSRN Electronic Journal","10.2139/ssrn.4028533","1","10/02/2022","Avdoralimab (anti-C5aR1 mAb) Versus Placebo in Patients With Severe COVID-19: Results From a Randomized Controlled Trial (FORCE)","Carvelli, Julien; Meziani, Ferhat; Dellamonica, Jean; Cordier, Pierre-Yves; Allardet-Servent, Jerome; Fraisse, Megan; Velly, Lionel; Barbar, Saber; Lehingue, Samuel; Guervilly, Christophe; Desgrouas, Maxime; Camou, Fabrice; Piperoglou, Christelle; Vely, Frederic; Zerbib, Robert; Mitry, Emmanuel; Karakunnel, Joyson; Fares, Joanna; Batista, Luciana; Rotolo, Federico; Viotti, Julien; Boyer-Chammard, Agnès; Carpentier, Sabrina; Demaria, Olivier; Lacombe, Karine; Le Dault, Erwan; Chouaki-Benmansour, Nassima; Carles, michel; Schleinitz, Nicolas; Vivier, Eric; Group, The Force Study","-","initial deposit","-"
"medRxiv","10.1101/2022.02.08.22270658","1","09/02/2022","Safety and immunogenicity of inactivated whole virion vaccine CoviVac against COVID-19: a multicenter, randomized, double-blind, placebo-controlled phase I/II clinical trial","Ishmukhametov, A. A.; Siniugina, A. A.; Yagovkina, N. V.; Kuzubov, V. I.; Zakharov, K. A.; Volok, V. P.; Dodina, M. S.; Gmyl, L. V.; Korotina, N. A.; Theodorovich, R. D.; Ulitina, Y. I.; Tsaan, A. A.; Pomaskina, T. V.; Kalenskaya, A. V.; Solovjeva, I. V.; Tivanova, E. V.; Kondrasheva, L. Y.; Ploskireva, A. A.; Akimkin, V. G.; Subbotina, K. A.; Ignatyev, G. M.; Korduban, A. K.; Shustova, E. Y.; Bayurova, E. O.; Kondrashova, A. S.; Avdoshina, D. V.; Piniaeva, A. N.; Kovpak, A. A.; Antonova, L. P.; Rogova, Y. V.; Shishova, A. A.; Ivin, Y. Y.; Sotskova, S. E.; Chernov, K. A.; Ipatova, E. G.; Kordu","-","publishaheadofprint","-"
"medRxiv","10.1101/2022.02.07.22270215","2","08/02/2022","Safety and efficacy of two immunization schedules with an inactivated SARS-CoV-2 vaccine in adults. A randomized non-inferiority clinical trial.","Abarca, K.; Iturriaga, C.; Urzua, M.; Le Corre, N.; Pineda, A.; Fernandez, C.; Dominguez, A.; Gonzalez, P. A.; Bueno, S. M.; Donato, P.; Espinoza, P.; Fuentes, D.; Gonzalez, M.; Guzman, P.; Munoz, P.; Perez, C. M.; Potin, M.; Rojas, A.; Gonzalez-Aramundiz, J. V.; Galvez, N. M. S.; Aguirre-Boza, F.; Aljaro, S.; Batiz, L. F.; Campisto, Y.; Cepeda, M.; Cortes, A.; Lopez, S.; Perez, M. L.; Schilling, A.; Kalergis, A. M.","10.3390/vaccines10071082","publishaheadofprint","CRESS, medRxiv"
"medRxiv","10.1101/2022.01.31.22270036","1","05/02/2022","Results From the REsCue Trial: A Randomized Controlled Trial with Extended-Release Calcifediol in Symptomatic Outpatients with COVID-19.","Bishop, C. W.; Ashfaq, A.; Melnick, J. Z.; Vazquez-Escarpanter, E.; Fialkow, J. A.; Strugnell, S. A.; Choe, J.; Kalantar-Zadeh, K.; Federman, N. C.; Ng, D.; Adams, J. S.","-","publishaheadofprint","-"
"SSRN Electronic Journal","10.2139/ssrn.4023682","1","05/02/2022","Safety and Immunogenicity of Anti-SARS-CoV-2 Conjugate Vaccine SOBERANA 02: Phase IIb Clinical Trial","Eugenia-Toledo-Romani, Maria; García Carmenate, Mayra; Verdecia-Sánchez, Leslyhana; Pérez-Rodríguez, Suzel; Rodriguez-González, Meiby; Valenzuela-Silva, Carmen; Paredes-Moreno, Beatriz; Sánchez-Ramírez, Belinda; González-Mugica, Raul; Hernández-García, Tays; Orosa-Vázquez, Ivette; Díaz-Hernández, Marianniz; Pérez-Guevara, María Teresa; Enríquez-Puertas, Juliet; Noa-Romero, Enrique; Palenzuela-Diaz, Ariel; Baro-Roman, Gerardo; Mendoza-Hernández, Ivis; Muñoz, Yaima; Gómez-Maceo, Yanet; Santos Vega, Bertha Leysi; Fernandez-Castillo, Sonsire; Climent-Ruiz, Yanet; Rodríguez-Noda, Laura; Santana-Mederos, Darielys; García-Vega, Yanelda; Wu-Chen, Guang; Doroud, Delaram; Biglari, Alireza; Boggiano-Ayo, Tammy; Valdés-Balbín, Yury; Rivera, Daniel G.; García-Rivera, Dagmar; Verez-Bencomo, Vicente; Group, SOBERANA Research","10.1016/j.medj.2022.08.001","initial deposit","CRESS"
"medRxiv","10.1101/2022.02.01.22270253","1","05/02/2022","Safety and Immunogenicity of An Egg-Based Inactivated Newcastle Disease Virus Vaccine Expressing SARS-CoV-2 Spike: Interim Results of a Randomized, Placebo-Controlled, Phase 1/2 Trial in Vietnam","Dang, A. D.; Vu, T. D.; Vu, H. H.; Ta, V. T.; Pham, A. T. V.; Dang, M. T. N.; Le, B. V.; Duong, T. H.; Nguyen, D. V.; Lawpoolsri, S.; Chinwangso, P.; McLellan, J. S.; Hsieh, C.-L.; Garcia-Sastre, A.; Palese, P.; Sun, W.; Martinez, J. L.; Gonzalez-Dominguez, I.; Slamanig, S.; Carreno, J. M.; Tcheou, J.; Krammer, F.; Raskin, A.; Vu, H. M.; Tran, T. C.; Nguyen, H. M.; Mercer, L. D.; Raghunandan, R.; Lal, M.; White, J. A.; Hjorth, R.; Innis, B. L.; Scharf, R.","10.1016/j.vaccine.2022.04.078","publishaheadofprint","CRESS, medRxiv"
"medRxiv","10.1101/2022.02.03.22270152","1","04/02/2022","Efficacy and safety of nitazoxanide combined with ritonavir-boosted atazanavir for the treatment of mild to moderate COVID-19","Fowotade, A.; Bamidele, F.; Egbetola, B.; Adefuye, B. O.; Fagbamigbe, A. F.; Adeagbo, B. A.; Olagunoye, A.; Ojo, T. O.; Adebiyi, A. O.; Olagunju, O. I.; Ladipo, O. T.; Akinloye, A.; Onayade, A.; Bolaji, O. O.; Happi, C.; Rannard, S.; Owen, A.; Olagunju, A.","10.3389/fmed.2022.956123","publishaheadofprint","CRESS, medRxiv"
"medRxiv","10.1101/2022.01.30.22269685","2","03/02/2022","Doxycycline for the prevention of progression of COVID-19 to severe disease requiring intensive care unit (ICU) admission: a randomized, controlled, open-label, parallel group trial (DOXPREVENT.ICU)","Dhar, R.; Kirkpatrick, J.; Gilbert, L.; Khanna, A.; Modi, M. M.; Chawla, R. K.; Dalal, S.; Maturu, V. N.; Stern, M.; Keppler, O. T.; Djukanovic, R.; Gadola, S. D.","-","publishaheadofprint","-"
"Research Square","10.21203/rs.3.rs-1318760/v1","1","01/02/2022","Efficacy and Safety of A Novel Antiviral Preparation in ICU-Admitted Patients with COVID-19: A Phase III Randomized Controlled Trial","Faramarzi, Hossein; Sahebkar, Amirhossein; HOSSEINPOUR, AHMAD; Khaloo, Vahid; Chamanpara, Parisa; Heydari, Mohammad Reza; Najafi, Sajad; Khankahdany, Fatemeh Fotoohi; Movahedpour, Ahmad","-","initial deposit","-"
"medRxiv","10.1101/2022.01.28.22270035","1","31/01/2022","A Phase 2 Randomized, Double-Blind, Placebo-controlled Trial of Oral Camostat Mesylate for Early Treatment of COVID-19 Outpatients Showed Shorter Illness Course and Attenuation of Loss of Smell and Taste","Chupp, G.; Spichler-Moffarah, A.; Sogaard, O. S.; Esserman, D.; Dziura, J.; Danzig, L.; Chaurasia, R.; Patra, K. P.; Salovey, A.; Nunez, A.; May, J.; Astorino, L.; Patel, A.; Halene, S.; Wang, J.; Hui, P.; Patel, P.; Lu, J.; Li, F.; Gan, G.; Parziale, S.; Katsovich, L.; Desir, G.; Vinetz, J. M.","-","publishaheadofprint","-"
"medRxiv","10.1101/2022.01.28.22270043","1","31/01/2022","Efficacy and Safety of a Booster Regimen of Ad26.COV2.S Vaccine against Covid-19","Hardt, K.; Vandebosch, A.; Sadoff, J.; Le Gars, M.; Truyers, C.; Lowson, D.; Van Dromme, I.; Vingerhoets, J.; Kamphuis, T.; Scheper, G.; Ruiz-Guinazu, J.; Faust, S. N.; Spinner, C. D.; Schuitemaker, H.; Van Hoof, J.; Douoguih, M.; Struyf, F.","-","publishaheadofprint","-"
"medRxiv","10.1101/2022.01.29.22270066","1","30/01/2022","Evaluation of the systemic and mucosal immune response induced by COVID-19 and the BNT162b2 mRNA vaccine for SARS-CoV-2","Nickel, O.; Rockstroh, A.; Wolf, J.; Landgraf, S.; Kalbitz, S.; Kellner, N.; Borte, M.; Fertey, J.; Lu¨bbert, C.; Ulbert, S.; Borte, S.","10.1371/journal.pone.0263861","publishaheadofprint","medRxiv"
"medRxiv","10.1101/2022.01.17.22269242","1","26/01/2022","Efficacy and Safety of a Plant-Based Virus-Like Particle Vaccine for COVID-19 Adjuvanted with AS03","Hager, K. J.; Marc, G. P.; Gobeil, P.; Diaz, R. S.; Heizer, G.; Llapur, C.; Makarkov, A. I.; Vasconcellos, E.; Pillet, S.; Riera, F.; Bhutada, K.; Wolff, P. G.; Wallace, G.; Aazami, H.; Jones, C. E.; Polack, F. P.; Atkins, J.; Boulay, I.; Dhaliwall, J.; Charland, N.; Couture, M.; Jiang-Wright, J.; Landry, N.; Lapointe, S.; Lorin, A.; Mahmood, A.; Moulton, L. H.; Pahmer, E.; Parent, J.; Saxena, P.; Seguin, A.; Tran, L.; Breuer, T.; Ceregido, M. A.; Koutsoukos, M.; Roman, F.; Namba, J.; D'Aoust, M.-A.; Trepanier, S.; Kimura, Y.; The CoVLP Study Team,  ; Ward, B. J.","10.1056/nejmoa2201300","publishaheadofprint","CRESS, medRxiv"
"SSRN Electronic Journal","10.2139/ssrn.4016484","1","26/01/2022","Efficacy and Safety of an Inactivated Whole-Virion Vaccine Against COVID-19, QazCovid-in®, In Healthy Adults: A Multicentre, Randomised, Single-Blind, Placebo-Controlled Phase 3 Clinical Trial With a 6-Month Follow-Up","Khairullin, Berik; Zakarya, Kunsulu; Orynbayev, Mukhit; Abduraimov, Yergali; Kassenov, Markhabat; Sarsenbayeva, Gulbanu; Sultankulova, Kulyaisan; Cherviyakova, Olga; Myrzhakhmetova, Balzhan; Nakhanov, Aziz; Nurpeisova, Ainur; Zhugunissov, Kuandyk; Assanzhanova, Nurika; Nurabayev, Sergazy; Kerimbayev, Aslan; Ershebulov, Zakir; Burashev, Yerbol; Kulmagambetov, Ilyas; Davlyatshin, Timur; Sergeeva, Maria; Buzitskaya, Zhanna; Stukova, Marina; Kutumbetov, Lespek","10.1016/j.eclinm.2022.101526","initial deposit","CRESS"
"medRxiv","10.1101/2022.01.14.21267257","1","25/01/2022","A qualitative process analysis of DCT as an alternative to self-isolation following close contact with a confirmed case of COVID-19","Denford, S.; Martin, A. F.; Towler, L.; Mowbray, F.; Essery, R.; Bloomer, R.; Ready, D. R.; Love, N. K.; Amlot, R.; Oliver, I.; Rubin, J.; Yardley, L.","10.1186/s12889-022-13204-x, 10.1186/s12889-022-13800-x","publishaheadofprint","CRESS, medRxiv"
"medRxiv","10.1101/2022.01.25.22269735","2","25/01/2022","Acquired neutralizing breadth against SARS-CoV-2 variants including Omicron after three doses of mRNA COVID-19 vaccination and the vaccine efficacy","Furukawa, K.; Tjan, L. H.; Kurahashi, Y.; Sutandhio, S.; Nishimura, M.; Arii, J.; Mori, Y.","10.1001/jamanetworkopen.2022.10780","publishaheadofprint","CRESS, medRxiv"
"medRxiv","10.1101/2022.01.24.22269666","1","25/01/2022","mRNA-1273 Vaccine-elicited Neutralization of SARS-CoV-2 Omicron in Adolescents and Children","Girard, B.; Tomassini, J.; Deng, W.; Maglinao, M.; Zhou, H.; Figueroa, A.; Gamloush, S. S.; Montefiori, D. C.; Das, R.; Pajon, R.","-","publishaheadofprint","-"
"Research Square","10.21203/rs.3.rs-1290999/v1","1","24/01/2022","Efficacy and safety of ivermectin in the treatment of mild-to-moderate COVID-19 infection: A randomized, double blind, placebo, controlled trial","Manomaipiboon, Anan; Pholtawornkulchai, Kitisak; Pupipatpab, Sujaree; Suraamornkul, Swangjit; Maneerit, Jakravoot; Ruksakul, Wiroj; Phumisantiphong, Uraporn; Trakarnvanich, Thananda","10.1186/s13063-022-06649-3","initial deposit","CRESS"
"Research Square","10.21203/rs.3.rs-1277990/v1","1","20/01/2022","Convalescent Plasma to Treat Covid-19: a Randomized Double Blind 2 Centers Trial","Fernández-Sánchez, Verónica; Ventura-Enríquez, Yanet; Cabello-Gutiérrez, Carlos; Pérez-Calatayud, Ángel Augusto; Rosa, Evelyn Cortina-De la; Fareli-González, Christian Javier; Castillo-Juárez, Paola; Peña-Pérez, Carlos Alberto; Zavaleta-Martínez, Elí Omar; Diaz-Padilla, Elizabeth; Murrieta, Sandra; Álvarez-Jiménez, Violeta Deyanira; Ponce-Medrano, Juan Alberto Díaz; Casillas-Suárez, Catalina; Ocampo-Ocampo, María Angélica","-","initial deposit","-"
"SSRN Electronic Journal","10.2139/ssrn.4011889","1","20/01/2022","Safety and Efficacy of BCG Re-Vaccination in Reducing COVID-19 Morbidity in Healthcare Workers: A Double-Blind, Randomised, Controlled, Phase 3 Trial","Upton, Caryn Megan; van Wijk, Rob C.; Mockeliunas, Laurynas; Simonsson, Ulrika S. H.; McHarry, Kirsten; van den Hoogen, Gerben; Muller, Chantal; von Delft, Arne; van der Westhuizen, H; van Crevel, reinout; Walzl, Gerhard; Baptista, Pedro M.; Peter, Jonny; Diacon, Andreas H.; Consortium, BCG CORONA","10.1016/j.eclinm.2022.101414","initial deposit","CRESS"
"Research Square","10.21203/rs.3.rs-1276203/v1","1","19/01/2022","Effect of vitamin D supplementation versus placebo on recovery delay among COVID-19 patients: A randomized-controlled clinical trial","Abroug, Hela; Maatouk, Amani; Bennasrallah, Cyrine; Dhouib, Wafa; Fredj, Manel Ben; Zemni, Imen; Kacem, Meriem; Mhalla, Salma; Nouira, Sarra; Belgacem, Manel Ben; Nasri, Aymen; Klii, Rim; Loussaief, Chawki; Alya, Nissaf Ben; Bouanen, Inès; Belgu, Asma Sriha","-","initial deposit","-"
"Research Square","10.21203/rs.3.rs-1273552/v1","1","18/01/2022","Favipiravir and/or Nitazoxanide: a randomized, double-blind, 2x2 design, placebo-controlled trial of early therapy in COVID-19 (FANTAZE).","Smith, Tania A.; Hoyo-Vadillo, Carlos; Agyeman, Akosua; Favari-Perozzi, Liliana; Gastine, Silke; Debhbi, Hakim-Moulay; Villegas-Lara, Beatriz; Mateos, Eduardo; Perez-Gonzalez, Yessica; Navarro-Gualito, Maria D.; Cruz-Carvajal, Alejandra S.; Cortes-Vazquez, Miguel A.; Bekker-Mendez, Carolina; Aguirre-Alvarado, Charmina; Aguirre-Gil, Gisela; Delgado-Pastelin, Lucero; Owen, Andrew; Lowe, David; Standing, Joseph F.; Peña, Jorge Escobedo-de la","10.1186/s13063-022-06533-0","initial deposit","CRESS"
"SSRN Electronic Journal","10.2139/ssrn.4005185","1","16/01/2022","Safety and Immunogenicity of Heterologous Boosting With a Protein-Subunit-Based COVID-19 Vaccine (ZF2001) in Healthy Adults Previously Received One Dose of Convidecia: A Randomised, Observer-Blinded, Placebo-Controlled Trial","Jin, Pengfei; Guo, Xi-Ling; Chen, Wei; Ma, Shihua; Pan, Hong-Xing; Dai, Lianpan; Du, Pan; Wang, Lili; Jin, Lairun; Chen, Yin; Shi, Feng-Juan; Liu, Jing-Xian; Xu, Xiao-Yu; Zhang, Yanan; Gao, George F.; Chen, Cancan; Feng, Jialu; Li, Jing-Xin; Zhu, Feng-Cai","10.1371/journal.pmed.1003953","initial deposit","CRESS"
"medRxiv","10.1101/2022.01.12.22269095","2","15/01/2022","COVID MED - An Early Pandemic Randomized Clinical Trial of Losartan for Hospitalized COVID-19 Patients","Freilich, D.; Victory, J.; Jenkins, P.; Wheeler, J.; Vail, G. M.; Riesenfeld, E.; Cross, P.; Gilmore, C.; Huckabone, M.; Schworm, A.; Boregowda, U.; Deshmukh, F.; Choi, Y.; Kahn, A.; Gadomski, A.","10.1016/j.conctc.2022.100968","publishaheadofprint","CRESS, medRxiv"
"Research Square","10.21203/rs.3.rs-1250378/v1","1","11/01/2022","Statistical and Health Economic Analysis Plan Including COVID-19 Mitigation Strategy for the Physio4FMD Trial","Marston, Louise; Novere, Marie Le; Ricciardi, Federico; Nazareth, Irwin; Carson, Alan; Edwards, Mark; Goldstein, Laura; Marsden, Jonathan; Noble, Hayley; Reuber, Markus; Stone, Jon; Hunter, Rachael; Nielsen, Glenn","-","initial deposit","-"
"medRxiv","10.1101/2022.01.07.22268914","2","10/01/2022","Egg-derived anti-SARS-CoV-2 immunoglobulin Y (IgY) with broad variant activity as intranasal prophylaxis against COVID-19","Frumkin, L.; Lucas, M.; Scribner, C.; Ortega-Heinly, N.; Rogers, J.; Yin, G.; Hallam, T. J.; Yam, A.; Bedard, K.; Begley, R.; Cohen, C. A.; Badger, C. V.; Abbasi, S. A.; Dye, J. M.; McMillan, B.; Wallach, M.; Bricker, T. L.; Joshi, A.; Boon, A. C. M.; Pokhrel, S.; Kraemer, B. R.; Lee, L.; Kargotich, S.; Agogiya, M.; St. John, T.; Mochly-Rosen, D.","10.3389/fimmu.2022.899617","publishaheadofprint","CRESS, medRxiv"
"medRxiv","10.1101/2022.01.05.22268777","1","08/01/2022","Persistence of immunity and impact of a third (booster) dose of an inactivated SARS-CoV-2 vaccine, BBV152; a phase 2, double-blind, randomised controlled trial","Vadrevu, K. M.; Ganneru, B.; Reddy, S.; Jogdand, H.; Dugyala, R.; Praturi, U.; Sapkal, G. N.; Yadav, P.; Reddy, P.; Verma, S.; Singh, C.; Redkar, S. V.; Gillurkar, C. S.; Kushwaha, J. S.; Mohapatra, S.; Bhate, A.; Rai, S.; Ella, R.; Abraham, P.; Prasad, S.; Ella, K.","10.1038/s41598-022-16097-3","publishaheadofprint","CRESS, medRxiv"
"SSRN Electronic Journal","10.2139/ssrn.4000565","1","08/01/2022","Safety and Immunogenicity of Heterologous Boost Immunisation With an Aerosolized Ad5-nCoV After Two-Dose Priming With an Inactivated SARS-CoV-2 Vaccine CoronaVac in Adults: A Randomised, Open-Label, Parallel-Control Trial","Li, Jing-Xin; Wu, Shi-Po; Guo, Xi-Ling; Tang, Rong; Huang, Bao-Ying; Chen, Xiao-Qin; Huang, Hai-Tao; Chen, Yin; Hou, Li-Hua; Gou, Jin-Bo; Liu, Jing-Xian; Si, Wei-Xue; Zhong, Jin; Wang, Xue; Pan, Hong-Xing; Shi, Feng-Juan; Zhao, Xiao-Long; Xu, Xiao-Yu; Li, Zhuo-Pei; Zhang, Xiao-Yin; Cui, Lun-Biao; Zhu, Tao; Tan, Wen-Jie; Chen, Wei; Zhu, Feng-Cai","10.1016/s2213-2600(22)00087-x","initial deposit","CRESS"
